name,calories,serving_size_g,fat_total_g,fat_saturated_g,protein_g,sodium_mg,potassium_mg,cholesterol_mg,carbohydrates_total_g,fiber_g,sugar_g
apple,53.0,100.0,0.2,0.0,0.3,1,11,0,14.1,2.4,10.3
apricot,48.3,100.0,0.4,0.0,1.4,0,22,0,11.1,2.0,9.3
avocado,167.2,100.0,15.6,2.1,2.0,7,55,0,8.6,6.7,0.3
banana,89.4,100.0,0.3,0.1,1.1,1,22,0,23.2,2.6,12.3
beetroot,45.2,100.0,0.2,0.0,1.7,76,38,0,10.0,2.0,8.0
blueberry,56.2,100.0,0.0,0.0,0.7,0,11,0,14.8,2.2,10.4
cactus,15.2,100.0,0.0,0.0,1.3,19,15,0,3.2,2.0,1.1
cantaloupe,33.8,100.0,0.2,0.0,0.8,15,15,0,8.1,0.9,7.8
cherry,63.8,100.0,0.2,0.0,1.1,0,20,0,15.9,2.1,12.8
chestnut,249.2,100.0,2.2,0.4,3.2,2,105,0,52.9,5.2,10.7
clementine,47.0,100.0,0.1,0.0,0.8,0,21,0,11.8,1.7,9.2
corn,93.9,100.0,1.5,0.2,3.4,1,75,0,21.0,2.4,4.6
cucumber,15.3,100.0,0.1,0.0,0.6,1,24,0,3.7,0.5,1.7
dates,276.5,100.0,0.4,0.0,2.4,1,61,0,75.8,8.1,63.3
eggplant,34.7,100.0,0.2,0.0,0.8,0,15,0,8.7,2.5,3.2
ginger root,79.7,100.0,1.0,0.0,2.0,13,33,0,18.1,2.0,1.5
grape,67.4,100.0,0.2,0.1,0.7,1,20,0,18.3,0.9,15.6
grapefruit,41.2,100.0,0.1,0.0,0.8,0,17,0,10.8,1.6,6.9
guava,67.7,100.0,0.9,0.3,2.5,1,39,0,14.4,5.5,8.9
huckleberry,57.6,100.0,0.3,0.0,0.7,1,12,0,14.8,2.4,10.0
kiwi,59.5,100.0,0.5,0.0,1.1,3,33,0,14.9,3.0,9.1
kohlrabi,27.2,100.0,0.1,0.0,1.7,19,45,0,6.2,3.7,2.6
kumquats,72.1,100.0,0.8,0.1,1.9,10,19,0,16.1,6.4,9.3
lemon,29.0,100.0,0.3,0.0,1.1,2,15,0,9.3,2.7,2.5
limes,29.4,100.0,0.2,0.0,0.7,2,17,0,10.7,2.8,1.7
lychee,64.4,100.0,0.4,0.1,0.8,0,31,0,16.9,1.3,15.2
mango,61.6,100.0,0.4,0.1,0.8,0,14,0,14.8,1.6,13.6
melon,33.6,100.0,0.2,0.1,0.8,16,15,0,8.3,0.9,7.8
mulberry,42.8,100.0,0.4,0.0,1.4,9,37,0,9.8,1.7,8.2
nectarine,45.2,100.0,0.3,0.0,1.0,0,25,0,10.5,1.7,7.8
orange,50.4,100.0,0.1,0.0,0.9,1,23,0,12.4,2.2,8.4
papaya,43.0,100.0,0.3,0.1,0.5,7,9,0,10.8,1.7,7.8
passion fruit,98.1,100.0,0.7,0.1,2.2,27,67,0,23.3,10.4,11.1
peach,39.9,100.0,0.3,0.0,0.9,0,20,0,9.7,1.5,8.5
pear,56.7,100.0,0.1,0.0,0.4,1,11,0,14.9,3.1,9.8
pepper,248.5,100.0,3.0,1.3,10.5,19,160,0,63.1,25.4,0.4
pepper orange,26.5,100.0,0.2,0.0,1.0,2,24,0,6.4,0.9,0.0
pineapple,50.8,100.0,0.1,0.0,0.5,0,8,0,13.0,1.4,9.9
plum,46.2,100.0,0.3,0.0,0.7,0,16,0,11.4,1.4,9.9
pomegranate,84.2,100.0,1.2,0.1,1.7,2,35,0,18.5,4.1,13.7
pomelo,38.6,100.0,0.0,0.0,0.8,0,16,0,9.5,1.0,0.0
potato,92.7,100.0,0.1,0.0,2.5,10,70,0,21.0,2.2,1.2
quince,58.0,100.0,0.1,0.0,0.4,3,17,0,15.0,1.9,0.0
rambutan,81.8,100.0,0.2,0.0,0.7,10,9,0,21.1,0.9,0.0
raspberry,52.7,100.0,0.5,0.0,1.0,1,28,0,11.9,6.5,4.5
redcurrant,55.1,100.0,0.2,0.0,1.4,1,43,0,14.1,4.4,7.3
strawberry,31.9,100.0,0.3,0.0,0.7,0,23,0,7.7,2.0,4.9
tangelo,46.5,100.0,0.2,0.0,0.7,1,16,0,11.6,1.1,6.2
tomato,18.2,100.0,0.2,0.0,0.9,4,23,0,3.9,1.2,2.6
watermelon,30.3,100.0,0.1,0.0,0.6,0,10,0,7.4,0.4,6.2
cocos,354,100,33.4,27.2,3.3,11,592,0,12.4,9.1,6.1
kaki,62,100,0.2,0.1,1.3,0,192,0,15.5,3.2,10.2
mandarine,47,93,0.2,0.1,0.9,0,181,0,11.2,2.4,7.6
mangostan,67,100,0.5,0.4,1.3,0,232,0,15.4,2.8,13.2
maracuja,62,100,0.3,0.2,2.4,0,310,0,15.5,3.2,12.2
pepino,36,100,0.1,0.1,0.8,0,237,0,9.2,1.2,4.8
physalis,40,100,0.2,0.1,1.1,0,216,0,9.4,3.2,5.1
physalis with husk,63,100,0.4,0.3,1.4,0,216,0,15.7,5.2,7.3
pitahaya red,50,90,0.1,0.1,1.1,0,216,0,12.5,2.5,7.2
salak,89,100,0.3,0.2,1.5,0,337,0,22.2,2.9,14.3
tamarillo,46,100,0.2,0.1,1.2,0,297,0,10.7,2.8,6.3
