name,calories,serving_size_g,fat_total_g,fat_saturated_g,protein_g,sodium_mg,potassium_mg,cholesterol_mg,carbohydrates_total_g,fiber_g,sugar_g
apel,53.0,100.0,0.2,0.0,0.3,1,11,0,14.1,2.4,10.3
alpukat,167.2,100.0,15.6,2.1,2.0,7,55,0,8.6,6.7,0.3
pisang,89.4,100.0,0.3,0.1,1.1,1,22,0,23.2,2.6,12.3
anggur,67.4,100.0,0.2,0.1,0.7,1,20,0,18.3,0.9,15.6
jambu,67.7,100.0,0.9,0.3,2.5,1,39,0,14.4,5.5,8.9
lemon,29.0,100.0,0.3,0.0,1.1,2,15,0,9.3,2.7,2.5
manngga,61.6,100.0,0.4,0.1,0.8,0,14,0,14.8,1.6,13.6
jeruk,50.4,100.0,0.1,0.0,0.9,1,23,0,12.4,2.2,8.4
persik,39.9,100.0,0.3,0.0,0.9,0,20,0,9.7,1.5,8.5
pirr,56.7,100.0,0.1,0.0,0.4,1,11,0,14.9,3.1,9.8
stroberi,31.9,100.0,0.3,0.0,0.7,0,23,0,7.7,2.0,4.9
semangka,30.3,100.0,0.1,0.0,0.6,0,10,0,7.4,0.4,6.2

